A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),U(760),V(810),W(860),K(900),L(940),T(730),pH,EC  (dS/m),OC (%),P   (kg/ha),K (kg/ha),Ca (meq/100g),Mg (meq/100g),S (ppm),Fe (ppm),Mn (ppm),Cu (ppm),Zn (ppm),B (ppm)
2321.14,1045.29,2187.34,725.65,832.11,1378.21,326.77,328.9,1214.99,165.87,292.16,52.98,69.45,224.98,273.13,67.12,40.76,77.89,5.18,0.07,1.34,10.16,72.78,1.6,2.3,12.42,90.04,59.58,2.48,0.44,0.81
2392.12,1097.11,2253.92,825.12,988.12,1524.19,412,408.19,1417.98,71.66,82.9,341.11,72.12,243.13,293.55,83.93,44.98,209.28,5.18,0.07,1.58,24.7,109.17,2,0.8,12.42,0.71,9.61,3.94,1.47,0.64
1436.24,256.27,1386.23,217.34,395.15,1058.34,192.25,215.18,836.17,121.34,238.16,42.18,52.19,198.19,278.77,95.76,39.12,67.12,7.65,0.14,0.51,24.7,702.24,7.3,2.5,57.93,0.7,1.46,1.17,0.42,1.05
1218.67,910.23,2016.12,754.18,864.12,1128.19,443.17,426.18,1044.18,209.18,70.18,62.23,171.98,199.23,88.17,125.15,51.98,52.9,8.18,0.14,0.27,7.53,209.44,10.4,4,42.68,1.95,0.72,1.05,0.29,0.69
2997.16,1327.98,2760.19,960.88,1126.99,1900.76,496.98,501.98,1482.98,261.19,363.98,88.78,89.1,270.19,320.19,106.88,56.19,85.13,7.95,0.11,0.21,4.73,258.72,11.7,4.6,82.93,2.51,0.51,0.42,0.13,0.75
3170.11,1270.34,3280.87,935.22,1096.13,1946.98,490.99,511.23,1197.12,278.22,73.16,82.34,234.87,298.17,127.88,135.99,54.12,65.34,6.31,0.12,0.9,5.61,200.4,13.75,7,17.91,29.44,27.23,8.29,0.71,1.02
2255.11,1222.12,2734.11,915.18,1085.17,1917.66,476.23,490.13,1183.23,252.98,314.66,77.12,72.34,241.88,306.12,101.22,54.12,76.43,6.68,0.08,1.29,4.38,331.2,19.5,3,7.68,31.67,22.84,6.16,0.42,0.67
2319.42,1285.35,2302.91,872.24,940.13,1108.05,477.27,476.54,1313.53,246.67,339.77,75.39,78.98,210.1,321,93.56,51.13,87.86,6.95,0.08,0.84,11.39,83.16,28.25,6.25,11.94,45.31,24.38,10.01,1.58,0.6
3126.76,1255.22,3088.12,929.12,1067.22,1959.1,468.12,476.9,1431.76,246.23,356.76,72.12,77.16,252.17,303.12,108.67,52.99,84.09,8.4,0.19,0.42,5.78,748.2,62.75,7.75,11.94,18.56,15.04,2.45,1.42,0.43
3817.12,1412.87,3220.19,899.12,1010.22,1876.22,487.11,489.23,1365.12,74.87,85.12,73.14,312.22,120.12,51.1,34.14,23.18,261.14,6.68,0.26,1.2,2.98,236.4,25.5,2.75,11.94,38.95,22.12,7.6,0.39,0.82
1951.64,959.53,2726.87,666.19,905.4,1352.12,323.55,333.93,872.17,183.33,224.8,52.52,53.99,166.18,220.76,85.05,39.26,68.17,8.85,0.13,0.98,67.44,172.48,24.6,5.17,7.45,2.1,5.39,0.86,0.32,0.73
1614.1,930.56,2548.76,580.26,871.45,1223.34,375.15,380.63,838.22,186.45,239.93,53.79,55.61,159.3,233.15,84.48,39.26,69.68,8.42,0.2,0.27,77.08,283.36,5.36,4.54,28.12,4.2,5.35,0.59,0.95,0.6
1841.61,872.83,2732.82,647.33,880,1365.5,375.15,384.15,1029.05,194.93,256.62,55.06,55.61,179.96,225.26,85.05,38.34,68.93,5.78,0.07,0.77,78.83,147.84,5.04,2.06,20.02,19.44,56.1,2.14,0.74,0.56
1623.77,924.66,2561.67,647.71,923.55,1251.79,378.37,387.37,1018.51,197.16,253.54,55.91,57.22,170.49,232.02,82.78,39.26,71.2,6.56,0.26,0.44,55.01,219.06,3.3,2.9,22.41,14.23,10.56,1.11,1.52,0.92
1942.1,1071.13,2585.55,675.43,991.44,1244.31,356.6,373.6,842.91,196.27,218.64,52.52,56.41,161.02,235.4,82.22,40.17,71.2,6.77,0.6,0.22,26.8,316.42,6.5,2.9,43.1,2.08,28.91,1.98,0.69,0.3
2367.74,750.18,2298.47,569.33,903.82,1326.66,356.87,383.64,874.51,205.63,200.16,55.06,53.19,164.46,212.87,87.89,40.17,71.95,7.17,0.4,1.16,39.42,328.59,9.3,3.3,13.79,5.86,47.3,1.46,1.1,0.51
1077.56,643.68,2040.18,494.33,836.72,1117.78,336.45,351,952.95,183.78,233.01,51.68,56.41,165.32,230.89,82.78,36.52,72.71,9.29,0.27,0.51,14.89,146.04,6,5.3,19.87,4.24,5.54,0.2,1.43,1.34
1990.68,1101.02,2546.74,661.57,982.75,1212.11,358.49,344.98,833.54,168.61,224.8,54.64,58.02,153.27,226.39,81.08,39.26,73.47,7.07,0.17,0.39,40.12,121.7,4,2,19.87,14.06,10.23,0.51,1.89,0.49
1825,809.08,2737.82,632,916.45,1426.24,368.7,381.13,1012.66,194.48,250.46,54.64,53.99,175.66,199.36,87.32,38.34,69.68,9.39,0.75,0.6,5.78,219.06,11.3,2,16.56,57.59,17.27,0.92,1.34,0.73
2357.59,1087.07,2431.29,631.08,921.18,1132.75,353.11,345.98,977.54,176.64,224.8,56.76,57.22,171.35,239.91,84.48,39.26,74.23,9.08,0.26,0.48,9.69,376.92,37,9.5,30.76,4.29,4.71,1.32,0.8,0.84
1895.26,1026.29,2559.68,666.19,1002.49,1254.79,384.28,393.69,1011.49,202.06,250.46,57.18,58.02,167.05,223.01,82.78,41.08,74.23,8.9,0.17,0.42,33.45,115.8,13.5,8.3,18.14,13.11,3.05,2.14,0.69,0.77
2497.24,974.48,2787.58,607.98,88.03,1358.85,368.24,384.14,827.69,194.48,236.09,53.37,53.99,196,186,156,44,68.17,6.37,0.1,0.69,5.31,345.6,6.8,2.5,17.35,27,65.14,2.2,0.59,0.43
1469.37,693.49,2174.53,522.97,713.58,1113.29,345.05,366.57,771.49,185.56,187.85,49.13,44.32,151.55,192.6,85.62,38.24,55.29,6.36,0.12,0.75,17.34,221.76,8.16,2.13,17.38,10.06,11.27,1.65,1.06,0.83
2518.05,1016.33,2604.46,647.54,907.13,952.95,343.51,358.03,952.95,187.24,204.27,54.22,51.58,159.3,176.83,82.78,38.34,67.41,7.77,0.06,1.08,27.5,221.76,5.3,2.3,10.76,0.6,5.14,1.28,0.43,0.6
